"","country","games","iso_a3","population","medal_type","medal_winner","medal_total","medals_1","medals_2","medals_3","medals_4","medals_5","medals_1.team","rank_total","p_mean","p_median","p_credlow","p_credhigh","rank_mean","rank_median","rank_credlow","rank_credhigh","rank_mean_beta","rank_median_beta","observed_mpm","estimate_mpm","estimate_mpm_credlow","estimate_mpm_credhigh","rank_pc"
"18","Burkina Faso","paris-2024","BFA",23549000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,18,1.57653818765334e-08,7.04324836368294e-09,1.10767572251303e-09,8.0685145414615e-08,NA,NA,NA,NA,NA,NA,0,0.00704324836368293,0.00110767572251303,0.080685145414615,108
"19","Burundi","paris-2024","BDI",14048000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,19,2.37631443450878e-08,9.44614746037971e-09,1.13232061647955e-09,1.32818550245193e-07,NA,NA,NA,NA,NA,NA,0,0.00944614746037971,0.00113232061647955,0.132818550245193,109
"20","Cambodia","paris-2024","KHM",17639000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,20,2.01889993036895e-08,8.52529459704076e-09,1.12183420216544e-09,1.07360859969303e-07,NA,NA,NA,NA,NA,NA,0,0.00852529459704076,0.00112183420216544,0.107360859969303,110
"21","Cameroon","paris-2024","CMR",29124000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,21,1.30010583436274e-08,6.1083326794949e-09,1.09212764026217e-09,6.44024755893915e-08,NA,NA,NA,NA,NA,NA,0,0.0061083326794949,0.00109212764026217,0.0644024755893915,111
"22","Cayman Islands","paris-2024","CYM",74000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,22,3.12384678930795e-07,6.69669539627454e-08,1.31224140193101e-09,2.11401944222509e-06,NA,NA,NA,NA,NA,NA,0,0.0669669539627454,0.00131224140193101,2.11401944222509,112
"23","Central African Republic","paris-2024","CAF",5331000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,23,4.87666682012236e-08,1.54197358356991e-08,1.18603767784013e-09,2.91158008733668e-07,NA,NA,NA,NA,NA,NA,0,0.0154197358356991,0.00118603767784013,0.291158008733668,113
"24","Chad","paris-2024","TCD",20299000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,24,1.79031481368212e-08,7.76355712066132e-09,1.10995842975573e-09,9.23088931959045e-08,NA,NA,NA,NA,NA,NA,0,0.00776355712066132,0.00110995842975573,0.0923088931959045,114
"25","Comoros","paris-2024","COM",867000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,25,1.50561506023413e-07,3.68948434308948e-08,1.25583822965565e-09,9.51515439563558e-07,NA,NA,NA,NA,NA,NA,0,0.0368948434308948,0.00125583822965565,0.951515439563558,115
"26","Republic of the Congo","paris-2024","COG",6333000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,26,4.28289043631758e-08,1.46192436515916e-08,1.17178752495156e-09,2.4751504647031e-07,NA,NA,NA,NA,NA,NA,0,0.0146192436515916,0.00117178752495156,0.24751504647031,116
"27","Democratic Republic of the Congo","paris-2024","COD",109276000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,27,5.16399242968016e-09,3.22261205788072e-09,1.0611369725883e-09,2.06573920885392e-08,NA,NA,NA,NA,NA,NA,0,0.00322261205788072,0.0010611369725883,0.0206573920885392,117
